sku,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,display_product_options_in,map_price,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,is_in_stock,website_id,color,size
KAN-AP-20S08,Default,simple,Default Category/DRESSES,base,ROLO DRESS_Breezze Print_S,"Mid length dress with multi panels print and pattern. Relaxed fit mid length sleeves. Has a hidden button down opening at the neck. Lining is attached.

-Handspun Khadi Cotton & Mal Mal Cotton
-Flared bottom
-Drawstring on sleeves
-Relaxed fit
-Made in India 

Wash Care: This product is created with handwoven textile so it can be Soft Hand Washed only in cold water. But it is recommended to be Dry Cleaned.

Model is 5'9"" and is wearing a Small size. Dress length is 48""/122cms

Shipping: This product is expected to be shipped within 4-5 days. ",Mid length dress with multi panels print and pattern. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",9800,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",2,0,0,1,Breezze Print,S
KAN-AP-20S08-2,Default,simple,Default Category/DRESSES,base,ROLO DRESS_Breezze Print_M,"Mid length dress with multi panels print and pattern. Relaxed fit mid length sleeves. Has a hidden button down opening at the neck. Lining is attached.

-Handspun Khadi Cotton & Mal Mal Cotton
-Flared bottom
-Drawstring on sleeves
-Relaxed fit
-Made in India 

Wash Care: This product is created with handwoven textile so it can be Soft Hand Washed only in cold water. But it is recommended to be Dry Cleaned.

Model is 5'9"" and is wearing a Small size. Dress length is 48""/122cms

Shipping: This product is expected to be shipped within 4-5 days. ",Mid length dress with multi panels print and pattern. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",9800,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",3,0,0,1,Breezze Print,M
KAN-AP-20S08-3,Default,simple,Default Category/DRESSES,base,ROLO DRESS_Breezze Print_L,"Mid length dress with multi panels print and pattern. Relaxed fit mid length sleeves. Has a hidden button down opening at the neck. Lining is attached.

-Handspun Khadi Cotton & Mal Mal Cotton
-Flared bottom
-Drawstring on sleeves
-Relaxed fit
-Made in India 

Wash Care: This product is created with handwoven textile so it can be Soft Hand Washed only in cold water. But it is recommended to be Dry Cleaned.

Model is 5'9"" and is wearing a Small size. Dress length is 48""/122cms

Shipping: This product is expected to be shipped within 4-5 days. ",Mid length dress with multi panels print and pattern. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",9800,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Breezze Print,L
