sku,name,errors
KAN-AP-20RC12,"BLUSH TOP",
KAN-AP-20RC13,"CANDY TOP",
KAN-AP-20RC14,"RUSTIC TOP",
KAN-AP-20RC15,"CHECK MATE TOP",
KAN-AP-20RC16,"FAME SHIRT",
KAN-AP-20RC17,"JUNO TOP",
KAN-AP-20RC18,"SURFACE TOP","Url key: 'surface-top.html' was already generated for an item with the SKU: 'KAN-AP-20RC05'. You need to specify the unique URL key manually"
KAN-AP-20RC19,"BRICK SHIRT",
KAN-AP-20RC20,"COTE DRESS",
KAN-AP-20RC21,"DUSTER COAT",
KAN-AP-20RC22,"ISLAND  COAT",
KAN-AP-20RC23,"CANE DRESS",
KAN-AP-20RC24,"GAGA DRESS",
KAN-AP-20RC25,"PALETTE DRESS",
KAN-AP-20RC26,"LUNA DRESS",
KAN-AP-20RC27,"STELLA DRESS",
KAN-AP-20RC28,"CAPRIOSKA DRESS",
KAN-AP-20RC29,"CANARY DRESS",
KAN-AP-20RC30,"OLIVE DRESS",
KAN-AP-20RC32,"ROCCO DRESS",
KAN-AP-20RC33,"CLOVE DRESS",
KAN-AP-20PF30,"LUCY PINK Stole",
KAN-AP-20PF31,"LUCY BLUE Stole",
