sku,is_in_stock
KAN-AP-21S02,0
KAN-AP-21S04,0
KAN-AP-21S05,0
KAN-AP-21S07,0
KAN-AP-21S09,0
KAN-AP-21S10,0
KAN-AP-21S11,0
KAN-AP-21S12,0
KAN-AP-21S14,0
KAN-AP-21S15,0
KAN-AP-21S16,0
KAN-AP-21S19,0
KAN-AP-21S20,0
KAN-AP-21S21,0
KAN-AP-21S23,0
KAN-AP-21S24,0
KAN-AP-21S25,0
KAN-AP-21S26,0
KAN-AP-21S29,0
KAN-AP-21S30,0
KAN-AP-21S31,0
KAN-AP-21S34,0
KAN-AP-21S35,0
KAN-AP-21S37,0
KAN-AP-21S39,0
KAN-AP-21S42,0
KAN-AP-21S43,0
KAN-AP-21S47,0
KAN-AP-21S49,0
KAN-AP-21S50,0
KAN-AP-21S55,0
KAN-AP-21S56,0
KAN-AP-21S57,0
KAN-AP-21S59,0
KAN-AP-21S60,0
KAN-AP-21S61,0
KAN-AP-21S64,0
KAN-AP-21S65,0
